Skill1,Skill2,Similarity
monitor parameters' compliance in construction projects,manage parameters' compliance in construction projects,1
monitor parameters' compliance in construction projects,monitoring of parameters' compliance in construction projects,1
monitor parameters' compliance in construction projects,supervise others,0
maintain customer service,ensure professional service,1
maintain customer service,maintain serving customers,1
maintain customer service,provide guest support services,1
maintain customer service,provide customer service,1
maintain customer service,maintain service of customers,1
maintain customer service,maintain guest service,1
maintain customer service,maintain guest care,1
maintain customer service,managing customer service,0
maintain customer service,manage customer service,0
maintain specified water characteristics,ensuring specified water characteristics,1
maintain specified water characteristics,maintaining specified water characteristics,1
maintain specified water characteristics,ensure specified water characteristics,1
maintain specified water characteristics,specified water characteristics maintaining,1
maintain specified water characteristics,specified water characteristics ensuring,1
maintain specified water characteristics,tending of  drilling machine,0
analyse community needs,allocate resources according to community needs,1
analyse community needs,identify community needs,1
analyse community needs,find out community needs,1
analyse community needs,analyze community needs,1
analyse community needs,research community needs,1
analyse community needs,analyse needs of community,1
analyse community needs,respond to community needs,1
analyse community needs,analyse customer needs,0
analyse community needs,treat neurological conditions,0
assess sugar levels in tobacco leaves,assess the sugar level sin tobacco leaves,1
assess sugar levels in tobacco leaves,assessing sugar levels in tobacco leaves,1
assess sugar levels in tobacco leaves,judge sugar levels in tobacco crops,1
assess sugar levels in tobacco leaves,test sugar levels in tobacco crops,1
assess sugar levels in tobacco leaves,appraise sugar levels in tobacco crops,1
assess sugar levels in tobacco leaves,check sugar levels in tobacco crops,1
assess sugar levels in tobacco leaves,assess the sugar level in tobacco leaves,1
assess sugar levels in tobacco leaves,ensure repaired engine components meet accord with factory specifications,0
assess sugar levels in tobacco leaves,prepare market research report,0
pay attention to safety while performing forestry operations,paying attention to safety while performing forestry operations,1
pay attention to safety while performing forestry operations,forestry safety guidance observing,1
pay attention to safety while performing forestry operations,complying with forestry safety guidance,1
pay attention to safety while performing forestry operations,comply with forestry safety guidance,1
pay attention to safety while performing forestry operations,observe forestry safety guidance,1
pay attention to safety while performing forestry operations,observing forestry safety guidance,1
pay attention to safety while performing forestry operations,pay attention to safety during forestry operations,1
pay attention to safety while performing forestry operations,paying attention to safety during forestry operations,1
pay attention to safety while performing forestry operations,manage assembling room in footwear manufacturing,0
carry out shipping orders for parts,make shipping orders for parts,1
carry out shipping orders for parts,undertake shipping orders for parts,1
carry out shipping orders for parts,complete shipping orders for parts,1
carry out shipping orders for parts,oversee shipping orders for parts,1
carry out shipping orders for parts,carrying out shipping orders for parts,1
carry out shipping orders for parts,carry out a shipping order for parts,1
carry out shipping orders for parts,carry out shipping order for a part,1
carry out shipping orders for parts,arrange meat products for shipping,0
carry out shipping orders for parts,lay out meat products for shipping,0
carry out shipping orders for parts,compare provider shipping rates,0
carry out shipping orders for parts,mix a grain according to recipe,0
carry out shipping orders for parts,create artistic project budgets,0
intervene to reduce sub-optimal nutritional status of individuals,intervene to reduce poor nutritional status of individuals,1
intervene to reduce sub-optimal nutritional status of individuals,intervene to reduce poor nutritional status of a person affected,1
intervene to reduce sub-optimal nutritional status of individuals,intervene to reduce bad nutritional status of individuals,1
intervene to reduce sub-optimal nutritional status of individuals,intervene to reduce bad eating habits of individuals,1
intervene to reduce sub-optimal nutritional status of individuals,interfere to reduce bad nutritional status of individuals,1
intervene to reduce sub-optimal nutritional status of individuals,intervene to shrink sub-optimal nutritional status of individuals,1
intervene to reduce sub-optimal nutritional status of individuals,intervene to reduce poor nutritional status of a person,1
intervene to reduce sub-optimal nutritional status of individuals,intercede to reduce bad nutritional status of individuals,1
intervene to reduce sub-optimal nutritional status of individuals,intervene to reduce weak nutritional status of individuals,1
intervene to reduce sub-optimal nutritional status of individuals,removing a defective component,0
software design methodologies,,1
software design methodologies,handle poultry with care,0
use communication devices,operate communication equipment,1
use communication devices,use communication equipment,1
use communication devices,carry out activities using communication equipment,1
use communication devices,conduct communications operations using communication devices,1
use communication devices,utilise communication equipment,1
use communication devices,communicate using communication devices,1
use communication devices,utilise communication devices,1
use communication devices,perform communication activities using communication devices,1
use communication devices,communicate using communication equipment,1
use communication devices,operate communication devices,1
use communication devices,use communication techniques,0
use communication devices,use communication technique,0
use communication devices,maintain computerised records of railroad traffic,0
use communication devices,geological section creation,0
product comprehension,comprehending products,1
product comprehension,product knowledge,1
product comprehension,comprehension of products,1
product comprehension,products comprehension,1
product comprehension,product understanding,1
product comprehension,product requirements,1
product comprehension,managing ship emergency plans,0
"empower individuals, families and groups","empower individuals, groups and families",1
"empower individuals, families and groups","empower individuals, families or groups",1
"empower individuals, families and groups","empower groups, individuals and families",1
"empower individuals, families and groups","enable individuals, families and groups to lead healthy lifestyles",1
"empower individuals, families and groups","qualify individuals, families and groups",1
"empower individuals, families and groups","empower an individual, a family  and a group",1
operate waste incinerator,tending waste incinerator,1
operate waste incinerator,waste incinerator tending,1
operate waste incinerator,tend waste incinerator,1
operate waste incinerator,operating waste incinerator,1
operate waste incinerator,waste incinerator operating,1
building's electronic access equipment,buildings' electronic access equipment,1
building's electronic access equipment,building's electronic access control system,1
building's electronic access equipment,building's equipment for electronic access,1
support the development of sport activities in education,support the sport activities in the education development,1
support the development of sport activities in education,support the development of educational sport activities,1
support the development of sport activities in education,support the development of sport and physical activity in education,1
support the development of sport activities in education,support the development of sport and physical activities,1
transport drilling rigs,relocate drilling rigs,1
transport drilling rigs,transportation of drilling rigs,1
transport drilling rigs,drilling rig transportation,1
transport drilling rigs,transporting drilling rigs,1
transport drilling rigs,move and set up rigs,1
transport drilling rigs,transporting of drilling rigs,1
transport drilling rigs,move and set up drilling rigs,1
transport drilling rigs,relocate rigs,1
transport drilling rigs,drilling rigs transportation,1
transport drilling rigs,transport building materials,0
transport drilling rigs,coordinating shearing,0
transfer coffins,transfer coffin,1
transfer coffins,transport coffins,1
transfer coffins,transferring coffins+N66,1
transfer coffins,move coffins,1
transfer coffins,allocate gaming tables,0
transfer coffins,implement pre-assembly quality checks,0
apply crisis intervention,methodologically respond to crisis,1
apply crisis intervention,apply crisis intervention measures,1
apply crisis intervention,intervene in crises,1
apply crisis intervention,apply crisis interventions,1
apply crisis intervention,intervene in crisis,1
apply crisis intervention,crisis intervention,0
apply crisis intervention,crisis interventions,0
polish furniture,add shine to furniture,1
polish furniture,polishing furniture,1
polish furniture,shine furniture,1
polish furniture,buff furniture,1
polish furniture,wash furniture,0
leasing characteristics,leasing qualities,1
leasing characteristics,lease characteristic,1
leasing characteristics,lease characteristics,1
leasing characteristics,leasing attributes,1
leasing characteristics,leasing aspects,1
leasing characteristics,leasing characteristic,1
leasing characteristics,leasing components,1
leasing characteristics,wine characteristics,0
leasing characteristics,tractor driving,0
leasing characteristics,liaise with city authorities to secure public space permits,0
develop professional network,build professional network,1
develop professional network,develop pro network,1
develop professional network,create professional network,1
develop professional network,developing professional network,1
develop professional network,develop professional networks,1
develop professional network,launching satellites into space,0
rig automated lights,fit up and rig automated lights,1
rig automated lights,rig automated lighting,1
rig automated lights,rigging automated lights,1
rig automated lights,connect automated lights,1
rig automated lights,rig lights,0
rig automated lights,types of optical fibre,0
practice circus disciplines,work on circus disciplines,1
practice circus disciplines,practice circus discipline,1
practice circus disciplines,practicing circus disciplines,1
practice circus disciplines,perfect circus disciplines,1
practice circus disciplines,rehearse circus disciplines,1
inspect sport stadium,verify state of stadium,1
inspect sport stadium,assess the sports ground,1
inspect sport stadium,inspect stadium of sport,1
inspect sport stadium,inspect sports' stadium,1
handle honeycombs,hold honeycombs,1
handle honeycombs,handling honeycombs,1
handle honeycombs,place honeycombs,1
handle honeycombs,utilise honeycombs,1
handle honeycombs,handle a honeycomb,1
match vehicles with routes,assign appropriate vehicles to routes,1
match vehicles with routes,assign vehicles to suitable routes,1
match vehicles with routes,assign appropriate vehicles to suitable routes,1
match vehicles with routes,match vehicle types with routes,1
match vehicles with routes,connect types of vehicles with routes,1
match vehicles with routes,connect vehicles with routes,1
match vehicles with routes,connect vehicle types,1
match vehicles with routes,match types of vehicles with routes,1
match vehicles with routes,assign suitable vehicles to routes,1
match vehicles with routes,assign vehicles to appropriate routes,1
match vehicles with routes,match performers with venues,0
match vehicles with routes,match venues with performers,0
match vehicles with routes,match with mouth movements,0
match vehicles with routes,match maritime routes with vessels,0
match vehicles with routes,designing electrical systems,0
initiate contact with sellers,inaugurate contact with sellers,1
initiate contact with sellers,commence contact with sellers,1
initiate contact with sellers,institute contact with sellers,1
initiate contact with sellers,initiate contacts with sellers,1
initiate contact with sellers,initiating contact with sellers,1
initiate contact with sellers,begin contact with sellers,1
initiate contact with sellers,initiate a contact with a seller,1
take pictures,take a picture,1
take pictures,create a photo shoot,1
take pictures,take photos,1
take pictures,taking pictures,1
manufacture ornamental braided cord,manufacture braided cord for ornamental use,1
manufacture ornamental braided cord,construct ornamental braided cord,1
manufacture ornamental braided cord,produce ornamental braided cord,1
manufacture ornamental braided cord,manufacture braided cord for decorative use,1
manufacture ornamental braided cord,manufacture decorative braided cord,1
manufacture ornamental braided cord,manufacture braided goods,0
manufacture ornamental braided cord,manufacture braided products,0
manufacture ornamental braided cord,directives on passenger transport,0
store negatives,save negatives,1
store negatives,stockpile negatives,1
store negatives,inventory negatives,1
store negatives,storing negatives,1
refraction of the eye,refractive error examination,1
refraction of the eye,refraction of the eyes,1
refraction of the eye,refractive error testing,1
handle radiopharmaceuticals,safely deal with radiopharmaceuticals,1
handle radiopharmaceuticals,ensure medicinal radiocompounds are handled safely,1
handle radiopharmaceuticals,control radiopharmaceuticals,1
handle radiopharmaceuticals,safely control radio pharmaceuticals,1
handle radiopharmaceuticals,correctly label and store medicinal radiocompounds,1
handle radiopharmaceuticals,deal with radiopharmaceuticals,1
handle radiopharmaceuticals,correctly label and store radiopharmaceuticals,1
handle radiopharmaceuticals,ensure radiopharmaceuticals are handled safely,1
handle radiopharmaceuticals,safety handle radiopharmaceuticals,1
support cultural diversity,support diversity,1
support cultural diversity,encourage  cultural diversity,1
support cultural diversity,supporting cultural diversity,1
support cultural diversity,support cultural multiplicity,1
support cultural diversity,support diversity of cultures,1
support cultural diversity,apply motor oil to engines,0
medical devices materials,medical device materials,1
medical devices materials,medical devices material,1
medical devices materials,medical devices equipment,1
medical devices materials,medical devices components,1
medical devices materials,medical devices goods,1
medical devices materials,medical device material,1
medical devices materials,medical devices objects,1
medical devices materials,supervise jury activities,0
medical devices materials,conduct on board safety inspections,0
determine tunnel boring machine speed,t.b.m speed determination,1
determine tunnel boring machine speed,determination of t.b.m speed,1
determine tunnel boring machine speed,determination of tunnel boring machine speed,1
determine tunnel boring machine speed,calculation of tunnel boring machine speed,1
determine tunnel boring machine speed,t.b.m speed calculation,1
determine tunnel boring machine speed,determination of speed of t.b.m,1
determine tunnel boring machine speed,calculation of speed of tunnel boring machine,1
determine tunnel boring machine speed,calculation of t.b.m speed,1
determine tunnel boring machine speed,calculation of speed of t.b.m,1
determine tunnel boring machine speed,determining t.b.m speed,1
determine tunnel boring machine speed,calculating t.b.m speed,1
determine tunnel boring machine speed,determining tunnel boring machine speed,1
determine tunnel boring machine speed,calculate tunnel boring machine speed,1
determine tunnel boring machine speed,determination of speed of tunnel boring machine,1
determine tunnel boring machine speed,tunnel boring machine speed determination,1
determine tunnel boring machine speed,calculating tunnel boring machine speed,1
determine tunnel boring machine speed,tunnel boring machine speed calculation,1
types of music therapies,types of music therapy,1
types of music therapies,forms of music therapy,1
types of music therapies,classification of music therapy types,1
types of music therapies,utilise turning tools,0
drive automatic car,driving automatic car,1
drive automatic car,use automatic car,1
drive automatic car,pilot automatic car,1
drive automatic car,driving automatic cars,1
drive automatic car,drive automatic cars,1
drive automatic car,operate automatic car,1
design utility equipment,utility equipment specifying,1
design utility equipment,specifying utility equipment,1
design utility equipment,utility equipment designing,1
design utility equipment,designing utility equipment,1
scratch (computer programming),,1
supervise data entry,oversee data entry,1
supervise data entry,supervising data entry,1
supervise data entry,data entry supervision,1
supervise data entry,manage data entry,1
supervise data entry,supervision of data entry,1
supervise data entry,monitor data entry,1
supervise data entry,watch over data entry,1
biofilter systems,bio-filter equipment,1
biofilter systems,bio-filter systems,1
biofilter systems,range of bio-filter equipment,1
biofilter systems,range of biofilter equipment,1
biofilter systems,range of biofilter systems,1
biofilter systems,biofilter systems,1
biofilter systems,typology of biofilter equipment,1
biofilter systems,types of bio-filter equipment,1
biofilter systems,typology of bio-filter equipment,1
biofilter systems,range of bio-filter systems,1
biofilter systems,typology of bio-filter systems,1
biofilter systems,types of biofilter equipment,1
biofilter systems,types of bio-filter systems,1
biofilter systems,typology of biofilter systems,1
biofilter systems,biofilter equipment,1
biofilter systems,types of biofilter systems,1
biofilter systems,brewhouse processes,0
biofilter systems,ensure compliance of visitor tours,0
trendwatching,trend-watching,1
trendwatching,trend monitoring,1
trendwatching,trendwatch,1
trendwatching,studying trends to predict future trends,1
engage in physiotherapy research,engage in research in physiotherapy,1
engage in physiotherapy research,conduct research in physiotherapy,1
engage in physiotherapy research,do research in psychotherapy,1
engage in physiotherapy research,undertake research activity in physiotherapy,1
engage in physiotherapy research,manage physiotherapy staff,0
engage in physiotherapy research,manage physiotherapy-staff,0
engage in physiotherapy research,monitor heavy machinery,0
oversee aircraft sensor and recording systems,ensure the quality of aircraft systems installation,1
oversee aircraft sensor and recording systems,monitor installation of flight systems,1
oversee aircraft sensor and recording systems,ensure the quality of flight systems installation,1
oversee aircraft sensor and recording systems,monitor installation of aircraft systems,1
oversee aircraft sensor and recording systems,ensure the quality of installation of flight systems,1
oversee aircraft sensor and recording systems,supervise flight systems installation,1
oversee aircraft sensor and recording systems,crisis interventions,0
promote exercise programmes,promote fitness regimes,1
promote exercise programmes,advertise training programmes,1
promote exercise programmes,promote programmes to exercise,1
promote exercise programmes,promote programmes for exercises,1
use internet chat,use instant messaging,1
use internet chat,use net chat,1
use internet chat,chat using the internet,1
use internet chat,using internet chat,1
deliver aquatic products to customer specifications,aquatic products delivering to customer specifications,1
deliver aquatic products to customer specifications,supplying aquatic products to customer specifications,1
deliver aquatic products to customer specifications,supplying aquaculture products to customer specifications,1
deliver aquatic products to customer specifications,aquatic products supplying to customer specifications,1
deliver aquatic products to customer specifications,supply aquatic products to customer specifications,1
deliver aquatic products to customer specifications,delivering aquaculture products to customer specifications,1
deliver aquatic products to customer specifications,delivering aquatic products to customer specifications,1
deliver aquatic products to customer specifications,supply aquaculture products to customer specifications,1
deliver aquatic products to customer specifications,deliver aquaculture products to customer specifications,1
write javanese,correspond in written basa jawa,1
write javanese,correspond in written cara jawa,1
write javanese,writing Javanese,1
write javanese,show competency in written Javanese,1
write javanese,correspond in written Javanese,1
collect healthcare user data under supervision,to gather together healthcare user data under supervision,1
collect healthcare user data under supervision,collect healthcare user data with observation of medical experts,1
collect healthcare user data under supervision,accumulate healthcare user data under supervision,1
collect healthcare user data under supervision,collect qualitative and quantitative healthcare user data under supervision,1
collect healthcare user data under supervision,gather healthcare user data under supervision,1
collect healthcare user data under supervision,aggregate healthcare user data under supervision,1
collect healthcare user data under supervision,collect healthcare user data with observation of experts,1
collect healthcare user data under supervision,educate healthcare user on nutrition,0
collect healthcare user data under supervision,educate healthcare users on nutrition,0
tend sugar refinery equipment,tending sugar refinery equipment,1
tend sugar refinery equipment,take care of sugar refinery tools,1
tend sugar refinery equipment,tend of sugar refinery equipment,1
tend sugar refinery equipment,look after sugar refinery tools,1
tend sugar refinery equipment,mind sugar refinery tools,1
tend sugar refinery equipment,watch sugar refinery tools,1
advise on foreign affairs policies,produce foreign affairs policies suggestions,1
advise on foreign affairs policies,suggest foreign affairs policies,1
advise on foreign affairs policies,produce foreign affairs policies advice,1
advise on foreign affairs policies,advise foreign affairs policies,1
advise on foreign affairs policies,develop foreign affairs policies recommendations,1
advise on foreign affairs policies,recommend foreign affairs policies,1
advise on foreign affairs policies,develop foreign affairs policies solutions,1
advise on foreign affairs policies,provide foreign affairs policies solutions,1
advise on foreign affairs policies,test foreign affairs policies,0
advise on foreign affairs policies,advise on insurance policies,0
advise on foreign affairs policies,investigate foreign affairs policies,0
advise on foreign affairs policies,give information pre-treatment,0
advise on foreign affairs policies,identify archaeological finds,0
unreal engine,Unreal Engine 3,1
unreal engine,Unreal Engine 1,1
unreal engine,Unreal Engine 4,1
unreal engine,Unreal Engine 2,1
unreal engine,grease engines,0
unreal engine,do cleaning activities in an outdoor environment,0
landscape architectural instruments,range of laws and codes pertaining to landscape architecture,1
landscape architectural instruments,impact of laws and codes pertaining to landscape architecture,1
landscape architectural instruments,typology of landscape architectural instruments and codes,1
landscape architectural instruments,types of landscape architectural instruments and codes,1
landscape architectural instruments,range of landscape architectural instruments and codes,1
landscape architectural instruments,scope of laws and codes pertaining to landscape architecture,1
landscape architectural instruments,implications of laws and codes pertaining to landscape architecture,1
landscape architectural instruments,scope of landscape architectural instruments and codes,1
items specialty available for auction,lots available for auction,1
items specialty available for auction,goods available for auction,1
items specialty available for auction,items available to auction,1
items specialty available for auction,articles available for auction,1
items specialty available for auction,item available for auction,1
items specialty available for auction,items available for auctions,1
items specialty available for auction,overseeing well interactions,0
maintain electronic systems,calibrate electronic systems,1
maintain electronic systems,electronic systems calibration,1
maintain electronic systems,looking after electronic systems,1
maintain electronic systems,maintenance of electronic systems,1
maintain electronic systems,maintaining of electronic systems,1
maintain electronic systems,calibrating electronic systems,1
maintain electronic systems,electronic systems maintenance,1
maintain electronic systems,maintaining electronic systems,1
maintain electronic systems,electronic system maintenance,1
maintain electronic systems,look after electronic systems,1
maintain electronic systems,modelling electronic systems,0
maintain electronic systems,electronic systems modelling,0
maintain electronic systems,talk to social service users in foreign language,0
perform routine flight operations checks,ensure execution of routine flight operations checks,1
perform routine flight operations checks,execute routine flight operations checks,1
perform routine flight operations checks,conduct routine flight operations checks,1
perform routine flight operations checks,undertake routine flight operations checks,1
perform routine flight operations checks,conduct series of checks required for flight operations,1
perform routine flight operations checks,carry out routine flight operations checks,1
perform routine flight operations checks,complete necessary routine flight operations checks,1
perform routine flight operations checks,perform routine checks for flight operations,1
perform routine flight operations checks,perform series of checks required for flight operations,1
perform routine flight operations checks,hang down animals,0
use culinary finishing techniques,apply eye-catching detail to finish food product,1
use culinary finishing techniques,apply finishing touches to food and drink,1
use culinary finishing techniques,use culinary techniques for finishing,1
use culinary finishing techniques,use techniques for culinary finish,1
use culinary finishing techniques,use venepuncture equipment,0
develop strategy to solve problems,devise strategy,1
develop strategy to solve problems,come up with strategy to solve problems,1
develop strategy to solve problems,set goals,1
develop strategy to solve problems,set targets,1
develop strategy to solve problems,design strategy to solve problems,1
develop strategy to solve problems,developing strategy to solve problems,1
develop strategy to solve problems,identify goals,1
develop strategy to solve problems,develop strategies to solve problems,1
develop strategy to solve problems,develop strategy to solve problem,1
develop strategy to solve problems,create implementation strategy,1
develop strategy to solve problems,adapt implementation strategy,1
develop strategy to solve problems,strategic thinking,1
develop strategy to solve problems,create strategy to solve problems,1
develop strategy to solve problems,devise action plan,1
develop strategy to solve problems,develop objectives,1
develop strategy to solve problems,develop problem solving strategy,1
develop strategy to solve problems,identify tasks,1
develop strategy to solve problems,decide priorities,1
develop strategy to solve problems,liaise with educational staff,0
develop strategy to solve problems,"enable individuals, families and groups to lead healthy lifestyles",0
develop strategy to solve problems,give feedback to senior colleagues regarding problems or issues,0
stock shelves,fill a shelf,1
stock shelves,stock a shelf,1
stock shelves,fill shelves,1
stock shelves,stocking shelves,1
stock shelves,shelf stocking,1
stock shelves,top up shelves,1
stock shelves,refill shelves,1
stock shelves,livestock,0
make radiographic images,develop radiographic images,1
make radiographic images,radiographic images,1
make radiographic images,radiographic imaging,1
make radiographic images,radiographic imagery,1
make radiographic images,generate radiographic images,1
make radiographic images,produce radiographic images,1
maintain sanding machines,preserve sanding machines,1
maintain sanding machines,upkeep sanding machines,1
maintain sanding machines,conserve sanding machines,1
maintain sanding machines,maintaining sanding machines,1
maintain sanding machines,repair sanding machines,1
maintain sanding machines,maintain sanding machine,1
manage aspects of airspace management,carry out airspace management,1
manage aspects of airspace management,execute airspace management,1
manage aspects of airspace management,control aspects of airspace management,1
manage aspects of airspace management,manage elements of airspace management,1
manage aspects of airspace management,coordinate elements of airspace management,1
manage aspects of airspace management,control elements of airspace management,1
manage aspects of airspace management,coordinate aspects of airspace management,1
manage aspects of airspace management,conduct airspace management,1
manage aspects of airspace management,undertake airspace management,1
manage aspects of airspace management,perform airspace management,1
manage aspects of airspace management,handle digital libraries,0
apply freinet teaching strategies,applies Freinet teaching strategies,1
apply freinet teaching strategies,apply Freinet teaching strategy,1
apply freinet teaching strategies,implement Freinet teaching strategies,1
apply freinet teaching strategies,employ Freinet teaching strategies,1
apply freinet teaching strategies,use Freinet teaching strategies,1
apply freinet teaching strategies,applying Freinet teaching strategies,1
government social security programmes,government welfare plans,1
government social security programmes,government social security schedules,1
government social security programmes,government social security strategies,1
government social security programmes,government welfare policies,1
government social security programmes,government welfare strategies,1
government social security programmes,government social security policies,1
government social security programmes,government social security plans,1
government social security programmes,government welfare schedules,1
government social security programmes,implement social security programmes,0
government social security programmes,operate social security programmes,0
tend compressor engine,compressor engine operating,1
tend compressor engine,tending compressor engine,1
tend compressor engine,operating compressor engine,1
tend compressor engine,compressor engine tending,1
tend compressor engine,manage the welfare of livestock,0
develop efficiency plans for maritime shipping,implement maritime efficiency plans,1
develop efficiency plans for maritime shipping,oversee planning for maritime efficiency,1
develop efficiency plans for maritime shipping,develop maritime shipping efficiency plans,1
develop efficiency plans for maritime shipping,oversee maritime shipping efficiency plans,1
develop efficiency plans for maritime shipping,produce and implement plans to ensure maritime efficiency,1
develop efficiency plans for maritime shipping,develop efficiency plans for shipping,1
develop efficiency plans for maritime shipping,produce efficiency plans for maritime shipping,1
develop efficiency plans for maritime shipping,ensure maritime efficiency through planning,1
develop efficiency plans for maritime shipping,produce maritime shipping efficiency plans,1
perform reconstructive oral surgery,conduct reconstructive oral surgeries,1
perform reconstructive oral surgery,conduct reconstructive oral surgery,1
perform reconstructive oral surgery,perform a reconstructve oral operation,1
perform reconstructive oral surgery,carry out reconstructive oral surgeries,1
perform reconstructive oral surgery,perform reconstructive oral surgeriers,1
perform reconstructive oral surgery,carry out reconstructive oral surgery,1
conduct gross examination of tissues,conduct gross examination of tissue,1
conduct gross examination of tissues,examine the diseased tissues,1
conduct gross examination of tissues,inspect diseased tissue,1
conduct gross examination of tissues,conduct a gross examination of tissues,1
conduct gross examination of tissues,examine diseased tissues,1
conduct gross examination of tissues,group goods,0
conduct quality assurance inspections on fuel operations,perform inspection activities to assure the quality of fuel operations,1
conduct quality assurance inspections on fuel operations,inspect fuel operations to assure quality,1
conduct quality assurance inspections on fuel operations,conduct QA inspections on fuel operations,1
conduct quality assurance inspections on fuel operations,perform QA inspections on fuel operations,1
conduct quality assurance inspections on fuel operations,ensure the quality of fuel operations through inspection,1
conduct quality assurance inspections on fuel operations,undertake quality assurance inspections on fuel operations,1
conduct quality assurance inspections on fuel operations,undertake QA inspections on fuel operations,1
conduct quality assurance inspections on fuel operations,ensure safety through fuel operations inspections,1
conduct quality assurance inspections on fuel operations,perform quality assurance inspections on fuel operations,1
conduct quality assurance inspections on fuel operations,conduct on board safety inspections,0
design musical events involving patients,develop patient musical activities,1
design musical events involving patients,create and implement musical activities according to patient needs,1
design musical events involving patients,deliver musical activities for patients in accordance with their requirements,1
design musical events involving patients,design patient musical activities,1
design musical events involving patients,design patient musical events,1
design musical events involving patients,develop musical events involving patients,1
design musical events involving patients,create and implement musical events according to patient needs,1
design musical events involving patients,perform patient musical event development and delivery activities,1
design musical events involving patients,create and implement musical sessions in accordance with patient requirements,1
design musical events involving patients,design musical activities involving patients,1
integrate principles of pilates training,combine principles for training in Pilates,1
integrate principles of pilates training,apply principles of Pilates training,1
integrate principles of pilates training,integrate Pilates training principles,1
integrate principles of pilates training,integrate Pilates principles in training,1
integrate principles of pilates training,integrate principles of training,0
integrate principles of pilates training,integrate training principles,0
maintain relations with children's parents,maintain relations with children's relatives,1
maintain relations with children's parents,maintain relations with children's mother and father,1
maintain relations with children's parents,inform children's parents,1
maintain relations with children's parents,stay in contact with children's parents,1
maintain relations with children's parents,keep relations with children's parents,1
maintain relations with children's parents,maintain relation with children's relatives,1
maintain relations with children's parents,maintain relations with legal guardians,1
maintain relations with children's parents,maintain relation with children's parents,1
maintain relations with children's parents,building relationships with mining professionals,0
maintain relations with children's parents,build relationships with mining professionals,0
maintain relations with children's parents,relationship building with mining professionals,0
maintain relations with children's parents,medical device testing procedures,0
set theory,theory of sets,1
set theory,mathematical set theory,1
set theory,categories of pulp,0
manage radiology information system,manage radiology information systems,1
manage radiology information system,manage and distribute radiological images and data,1
manage radiology information system,handle radiology information system,1
manage radiology information system,develop and maintain radiology information system,1
manage radiology information system,manage radiology-information system,1
prevent technical problems with stage equipment,prevent problems with technical stage equipment,1
prevent technical problems with stage equipment,prevent technical problems with equipment on stage,1
prevent technical problems with stage equipment,prevent problems on stage with technical equipment,1
prevent technical problems with stage equipment,foresee and prevent technical problems with stage equipment,1
prevent technical problems with stage equipment,cutting holes in tile,0
select unshelled almonds,selecting unshelled almonds,1
select unshelled almonds,selection of unshelled almonds,1
select unshelled almonds,take fresh almonds,1
select unshelled almonds,pick fresh almonds,1
select unshelled almonds,select an unshelled almond,1
select unshelled almonds,choose fresh almonds,1
select unshelled almonds,filter fresh almonds,1
select unshelled almonds,inspect damaged windshields,0
select unshelled almonds,develop relationships with various carriers,0
national waterways,"rivers, canals, seaports, and inland harbours of a sovereign state",1
national waterways,state waterways,1
national waterways,"rivers, canals, seaports, and inland harbours of a country",1
national waterways,"national rivers, canals, seaports, and inland harbours",1
national waterways,domestic waterways,1
national waterways,nationwide waterways,1
national waterways,waterways of a country,1
national waterways,"rivers, canals, seaports, and inland harbours of a nation",1
national waterways,manage students of occupational therapy,0
train naval crew,instruct naval crew,1
train naval crew,teach members of the navy,1
train naval crew,educate members of the navy,1
train naval crew,teach naval crew,1
train naval crew,instruct members of the navy,1
train naval crew,educate naval crew,1
coffee characteristics,coffee varieties,1
coffee characteristics,characteristics of coffee,1
coffee characteristics,coffee origins,1
coffee characteristics,character of coffee,1
coffee characteristics,operate audio-signal processors,0
approve advertising campaign,approve ad campaign,1
approve advertising campaign,endorse advertising campaign,1
approve advertising campaign,approve advertising campaigns,1
approve advertising campaign,approving advertising campaign,1
approve advertising campaign,support advertising campaign,1
approve advertising campaign,laying sewer pipe,0
wood preservation,wood protection,1
wood preservation,wood conservation,1
wood preservation,Preservation of wood,1
order equipment,source new equipment,1
order equipment,ordering equipment,1
order equipment,order the equipment,1
order equipment,procure machinery and equipment,1
order equipment,load equipment,0
maintain mechanical equipment,maintaining mechanical equipment,1
maintain mechanical equipment,maintain mechanical parts,1
maintain mechanical equipment,repairing mechanical equipment,1
maintain mechanical equipment,mechanical equipment repairing,1
maintain mechanical equipment,maintaining mechanical parts,1
maintain mechanical equipment,repairing mechanical parts,1
maintain mechanical equipment,mechanical equipment maintaining,1
maintain mechanical equipment,repair mechanical parts,1
maintain mechanical equipment,repair mechanical equipment,1
maintain mechanical equipment,apply CAD software,0
track train delays,follow train delays,1
track train delays,carry out monitoring of railway delays,1
track train delays,monitor train delays,1
track train delays,identify train delays,1
track train delays,identify delayed trains,1
track train delays,track delayed trains,1
track train delays,conduct train delays monitoring,1
track train delays,conduct delays monitoring,1
track train delays,monitor delayed trains,1
track train delays,perform railway delays monitoring,1
track train delays,trace train delays,1
track train delays,learning delays,0
track train delays,train network,0
set up aquaculture cage mooring system,aquaculture cage mooring system installing,1
set up aquaculture cage mooring system,install aquaculture cage mooring system,1
set up aquaculture cage mooring system,setting up aquaculture cage mooring system,1
set up aquaculture cage mooring system,aquaculture cage mooring system setting up,1
set up aquaculture cage mooring system,setting up mooring system for aquaculture cage,1
